association_name;logo_file_name
DFST Passau;passau_logo.png
DJK Weiden e.V.;weiden_logo.png
ESV Ingolstadt Ringsee e.V.;ingolstadt_logo.png
FK Aschbach;aschbach_logo.png
KC Landau;landau_logo.png
KDC Vorderbreitenthann e.V.;vorderbreitenthann.logo.png
1. KSC Kulmbach e.V.;kulmbach_logo.png
Kurbelgemeinde Würzburg e. V.;wuerzburg_logo.png
Soccer Connection Augsburg;kickerkiste_logo.png
Speed Ball Team Aichach;aichach_logo.png
TFC Allgäu;tfc_allgaeu_logo.png
TFC Bamberg;bamberg_logo.png
TFC Nürnberg;nuernberg_logo.png
TFV München;tfv_muenchen_logo.png
TSG Maisach;maisach_logo.png
